date,rating,title,content
2026-06-14,1,爛什麼,App完全不能用點什麼都無限旋轉
2026-06-14,1,短影音氾濫,挑選商品還得先看短影音真的是在玩客人欸？
2026-06-14,1,聊聊接收權限全關了還可以收到廣告訊息是什麼鬼,如題，超爛
2026-06-14,1,那個智障的工程師,智障工程師嗎！開頁面是短影音，自動調節聲音，變成靜音，每次都要在調音量，智障的想法，智障的工程師！
2026-06-13,5,購物找蝦皮,非常棒的購物平台
2026-06-13,4,蝦幣怎麼了,之前看影片15分鐘可以拿到1.5蝦幣之後突然變成15分鐘1.3蝦幣最近ㄧ看變成30分鐘0.65蝦幣
2026-06-13,1,就你家首頁是影音，門面都不要了。,別人家避免客戶體驗變差吃流量與性能不會設影音是首頁，這是那位天才想引流想瘋了?最近更新除了白畫面，滑動還有點鈍鈍的，體驗感差到極點。
2026-06-13,1,騙人的安心退,說什麼安心退，還推智取店，櫃子一打開就是破損的商品，已經直接在店裡裡就拍照了，結果申請退貨一直被用系統取消，連系統客服都只會用AI來糊弄，跟賣家聯繫又說蝦皮那邊已經退款，到底兩邊誰在打太極？拿到破損的商品就該自然倒楣嗎？
2026-06-13,1,更新了切換頁面一樣慢到不行,華而不實
2026-06-13,5,好商品的購物網站,多比較評價，可以挑到最滿意的商品，而且不滿意退貨也很保障消費者，值得推的購物app，就別再蠢得去臉書上購物，87%是詐騙
2026-06-13,1,音樂自動暫停播放,蝦皮每次都會自動播放影片 沒有自動關閉影片播放的功能 每次背景音樂都會被迫停止
2026-06-13,1,廢物工程人員,App最爛的購物平台，越更新越爛，購物app瀏覽商品點進去一片空白？什麼爛app！？客服從未解決過問題，想尋求客服幫助的話，勸你還是不要白白浪費時間了！自從陳志被抓後蝦皮就越來越爛，合理懷疑蝦皮是陳志的關係企業～
2026-06-13,1,更新後,點進去賣家都會變白畫面耶？處理一下
2026-06-13,1,實體店頭與app管理都很爛,"1. 賣家費率一直漲，實體店面機器品質爛到爆，
連穩定補上賣家郵寄名條紙這種小事都做不好，
一家店的名條紙缺了一個月都補不齊，超扯。
2. app各處置入商品短影音真的煩死了，很吵！
只會減少我開app的次數！
我也不想浪費時間看影音，只想趕快找到要買的！

現在app首頁改成顯示商品短影音更是惱人！

趕快改掉好嗎！"
2026-06-13,2,ㄜ,越來越爛點進賣場商品還要看影片
2026-06-13,1,成了呆帳,"蝦皮錢包的錢，麻煩還錢（帳戶是我的個資，不想給）
現在少用此購物平台購物，較沒安全感！"
2026-06-13,1,買陀螺剛要付款說我違反條約,我什麼都沒做 我第一次用蝦皮就遇到bug 想買陀螺剛好看到打折就去買 剛要付款跳什麼違反條約 帳號被凍結 30後永久凍結 夠爛
2026-06-13,2,AI可判定海鮮鮮度？,在平台買了海鮮，烤完一口咬下即咬舌（代表海鮮不新鮮），平台很快而有效率的回覆外觀及包裝都良好，申訴駁回。但我申訴內容是海鮮不新鮮，平台依據什麼量化基礎駁回？好好奇喔？
2026-06-13,1,相機無法對焦,拍身分證相機無法對焦，也不能用上傳照片的方式，驗證錯誤3次還要等到隔天才能再試，有夠爛浪費時間
2026-06-13,1,國泰聯名卡 免費6個月vip 跳不出活動頁面,已經更新到最新都沒有，家人連聯名卡都沒有缺有活動頁面
2026-06-12,1,客服處理很爛,"蝦皮店到店智取店機器出問題沒人處理 ，客服沒有申訴的電話
超級爛連續3天錢都無法領導致買家的取貨時間已到 還沒辦法處理問題 有夠爛"
2026-06-12,5,是要不要讓我簽到 幾天了？,離譜
2026-06-12,1,吃飽就封鎖店鋪，是吃飽太閒阿,吃飽就封鎖店鋪，是吃飽太閒阿
2026-06-12,1,買個東西都要等超久,搜尋物品會顯示商品的運送時間如隔日到、3-5日到不等，但從沒準時過
2026-06-12,3,白畫面,iphone 16pro進到首頁後，點商家頁面和優惠卷等等功能會白畫面沒辦法使用
2026-06-12,1,時不時就當機 頁面跑不出來,根本跑不動 一直轉圈圈 重開也是一樣
2026-06-12,1,越更新 越爛,現在是怎麼了 都沒有隔日到貨了。
2026-06-12,1,打開很卡 & 蝦皮廣告強制打開APP,"最近打開蝦皮app 一堆功能都卡住跑不出來。
玩手遊狂跑出蝦皮廣告，常出現沒有問題，但每次出現都強制打開蝦皮APP很擾人"
2026-06-12,1,更新一樣,更新完 還是一樣卡住 畫面亂跳
2026-06-12,1,客服極爛，系統極爛，買東西被說刷評價，莫名其妙，白金會員 vip都買了、還被這樣搞,爛爛爛
2026-06-12,1,打不開,更新之後點什麼都在跑 根本打不開
2026-06-12,1,在爛下去就沒人用了,越更新越爛，APP開起來 商品跟訂單都不能出來
2026-06-12,2,繳費機出問題,客服要讓我等多久😂
2026-06-12,4,168多看多買少看少買,運送費減少，我覺得還不錯用！
2026-06-12,1,無法看見銷售狀況,已經連續三天無法看到我的銷售頁面了，這樣完全無法出貨，App也更新到最新版本了，依然沒有用。昂貴的抽成，結果App的狀況越來越多，也已經很久沒有即時收到東西賣出去的通知，真的很差勁。
2026-06-12,1,還可以偷改送達日期喔,偷改送達日期是怎樣
2026-06-12,1,超爛手續費越多越多然後上架個商品一直當掉,每次要上架商品都一直錯誤錯誤，沒看過這麼難用的app，手續費還收那麼多
2026-06-11,1,客服永遠打不進去！！,店到店機器故障！兩天了還不修理！也聯絡不到客服！
2026-06-11,1,最近是怎樣啊？更新完都很怪耶現在是訊息那邊一直出現明明就刪除了。,快處理很爛耶一直出現白畫面到底是有沒有在處理啊已經很久了爛到不行😡😡😡一直跑出白畫面是怎樣？你們到底要不要處理呀？沒有要處理喔蝦皮就不要用了啦爛死。
2026-06-11,1,蝦皮物流超級慢,很多優秀的賣家出貨超級快，就慢在蝦皮物流，一單多抽那麼多錢，服務也沒有比較好
2026-06-11,1,一直繞圈圈,有夠爛，每次都跑不出來
2026-06-11,1,看直播都會手機過熱,手機常常過熱
2026-06-11,3,這是第一次的體驗線上直播,感覺很新鮮，還不太熟悉。
2026-06-11,5,退貨讓人安心,買到假貨就直接退了，非要有魄力
2026-06-11,5,好多商品,愉快的購物體驗
2026-06-11,1,垃圾影音看15分鐘就夠了,如標題
2026-06-11,1,垃圾搜尋,超你媽搜尋跑一堆不相關的東西是在搜什麼東西，你們是智障嗎？做的真他媽爛，分數是買出來的吧
2026-06-11,4,經常使用,"優點：物品齊全 客服態度良好
缺點：店家素質良莠不一 客服電話接通有點慢"
2026-06-11,1,不要更新沒用的東西,為什麼一進去商品就是看影片？我在放音樂還給我停掉，根本就不需要這個更新到底在更新這個多餘的東西做什麼
2026-06-11,2,通知頁面更新後很難操作,更新訊息全部混在一個頁面 之前的比較好看懂
